Community,Total-Nodes,Total-Edges,Avg-In-Degree,Avg-Out-Degree,Avg-Weight,company,organization,Uncategorized,person,location,political_organization,vessel,movement,event,ownership,partnership,family_relationship,membership
0.0,121.0,495.0,3.12396694214876,3.1322314049586777,0.8687176152708057,0.6446280991735537,2.71900826446281,1.6611570247933884,0.9338842975206612,0.6363636363636364,0.1652892561983471,0.19834710743801653,0.01652892561983471,0.2809917355371901,0.2909090909090909,0.4767676767676768,0.26464646464646463,0.49696969696969695
1.0,473.0,1869.0,3.7357293868921775,3.6617336152219875,0.8580453173163759,1.145877378435518,2.219873150105708,1.864693446088795,1.708245243128964,0.8773784355179705,0.12050739957716702,0.30021141649048627,0.05496828752642706,0.10570824524312897,0.43552701979668274,0.38309256286784377,0.31781701444622795,0.7356875334403424
2.0,128.0,459.0,2.84375,2.7109375,0.8695034844444445,0.359375,3.296875,0.6953125,0.7578125,0.796875,0.4296875,0.1484375,0.0234375,0.046875,0.28322440087145967,0.22004357298474944,0.5555555555555556,0.49019607843137253
3.0,195.0,657.0,2.6974358974358976,2.5538461538461537,0.8616114767578125,0.49743589743589745,2.405128205128205,0.9692307692307692,1.3692307692307693,0.6871794871794872,0.17435897435897435,0.05128205128205128,0.020512820512820513,0.07692307692307693,0.2678843226788432,0.4018264840182648,0.3607305936073059,0.528158295281583
4.0,132.0,530.0,3.2045454545454546,3.053030303030303,0.8731536426634381,0.20454545454545456,1.5,1.2121212121212122,2.643939393939394,0.5984848484848485,0.6515151515151515,0.05303030303030303,0.03787878787878788,0.3560606060606061,0.17735849056603772,0.2528301886792453,0.4169811320754717,0.7113207547169811
5.0,105.0,435.0,3.742857142857143,3.8190476190476192,0.8804220699999995,0.44761904761904764,3.3333333333333335,0.6857142857142857,2.3047619047619046,0.49523809523809526,0.3333333333333333,0.44761904761904764,0.24761904761904763,0.26666666666666666,0.19770114942528735,0.5770114942528736,0.31494252873563217,0.735632183908046
6.0,116.0,366.0,3.0258620689655173,2.8275862068965516,0.8786353579381445,0.29310344827586204,1.6551724137931034,1.4482758620689655,2.4827586206896552,0.3275862068965517,0.02586206896551724,0.22413793103448276,0.10344827586206896,0.29310344827586204,0.1830601092896175,0.3907103825136612,0.680327868852459,0.6010928961748634
7.0,128.0,483.0,3.09375,2.8046875,0.8625897672450329,0.25,2.0234375,1.0078125,2.421875,0.5859375,0.3203125,0.0390625,0.03125,0.21875,0.2525879917184265,0.484472049689441,0.41821946169772256,0.4078674948240166
8.0,128.0,387.0,2.296875,2.3203125,0.8700420572250421,0.4453125,2.0703125,1.109375,0.9140625,0.6171875,0.25,0.125,0.0390625,0.046875,0.2971576227390181,0.2558139534883721,0.330749354005168,0.6434108527131783
9.0,148.0,653.0,3.439189189189189,3.581081081081081,0.8608865093647744,0.6554054054054054,2.777027027027027,1.6216216216216217,1.2364864864864864,0.9121621621621622,0.16891891891891891,0.43243243243243246,0.14189189189189189,0.07432432432432433,0.15773353751914243,0.28483920367534454,0.37059724349157736,0.777947932618683
10.0,167.0,581.0,2.6467065868263475,2.8862275449101795,0.8652877394696974,0.2934131736526946,2.592814371257485,0.6586826347305389,1.3532934131736527,0.5868263473053892,0.19161676646706588,0.5748502994011976,0.1377245508982036,0.1437125748502994,0.3958691910499139,0.4010327022375215,0.33562822719449226,0.4578313253012048
11.0,111.0,305.0,2.1531531531531534,2.2162162162162162,0.8607093935463919,0.36936936936936937,1.3333333333333333,1.1261261261261262,1.9189189189189189,0.25225225225225223,0.11711711711711711,0.04504504504504504,0.018018018018018018,0.1891891891891892,0.3081967213114754,0.23278688524590163,0.46885245901639344,0.580327868852459
12.0,267.0,1478.0,4.573033707865169,4.595505617977528,0.8765471532843135,0.9962546816479401,3.1760299625468167,1.344569288389513,2.0711610486891385,1.3707865168539326,0.5730337078651685,0.24719101123595505,0.2209737827715356,0.16853932584269662,0.40054127198917455,0.4654939106901218,0.32476319350473615,0.4654939106901218
13.0,131.0,579.0,3.3893129770992365,3.633587786259542,0.8550681736413044,0.5267175572519084,3.4656488549618323,1.1984732824427482,1.1145038167938932,1.16793893129771,0.4198473282442748,0.04580152671755725,0.03816793893129771,0.04580152671755725,0.6632124352331606,0.20552677029360966,0.32124352331606215,0.39896373056994816
14.0,109.0,411.0,2.926605504587156,2.944954128440367,0.8586325322968753,0.4036697247706422,2.3394495412844036,1.1559633027522935,1.4495412844036697,0.8165137614678899,0.46788990825688076,0.09174311926605505,0.009174311926605505,0.13761467889908258,0.18248175182481752,0.5109489051094891,0.19464720194647203,0.6690997566909975
15.0,142.0,483.0,2.767605633802817,2.4577464788732395,0.8738461369676546,0.3028169014084507,1.7535211267605635,1.0845070422535212,2.3380281690140845,0.3380281690140845,0.1619718309859155,0.028169014084507043,0.02112676056338028,0.19718309859154928,0.20082815734989648,0.43685300207039335,0.35403726708074534,0.5445134575569358
