Community,Node,type,country,In-Degree,Out-Degree,Avg-Weight,Node_Count,Edge_Count,ownership,partnership,family_relationship,membership,Connected_Node_Type_company,Connected_Node_Type_organization,Connected_Node_Type_Uncategorized,Connected_Node_Type_person,Connected_Node_Type_location,Connected_Node_Type_political_organization,Connected_Node_Type_vessel,Connected_Node_Type_movement,Connected_Node_Type_event,Total_Suspect
0,Edward Winters,person,Country_271835,0,9,0.8513666366666667,10,9,0,0,9,0,0,0,0,9,0,0,0,0,0,0.0
0,Kenworth 18-wheeler,vessel,Unknown,1,2,0.8600261366666667,4,3,3,0,0,0,1,0,1,1,0,0,0,0,0,0.0
0,Jon Johnson,person,Country_271835,5,2,0.8097558742857143,8,7,0,0,7,0,0,0,0,7,0,0,0,0,0,0.0
0,Christopher Berry,person,Country_271835,4,0,0.8070883725,5,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0.0
0,Matthew Pennington,person,Oceanus,1,19,0.8713549729999999,21,20,1,2,17,0,0,0,2,16,0,0,2,0,0,0.0
0,Michael Evans,person,Country_271835,7,0,0.8541584285714287,8,7,0,0,7,0,0,0,0,7,0,0,0,0,0,0.0
0,Lauren Sanchez,person,Country_271835,0,4,0.8341126325,5,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0.0
0,Dennis Payne,person,Country_271835,14,0,0.839135692857143,15,14,0,0,14,0,0,0,0,14,0,0,0,0,0,0.0
0,Emily Stevens,person,Country_271835,0,9,0.8546333466666667,10,9,0,0,9,0,0,0,0,9,0,0,0,0,0,0.0
0,Teresa Hansen,person,Country_271835,0,7,0.8484187500000002,8,7,0,0,7,0,0,0,0,7,0,0,0,0,0,0.0
0,James Johnson,person,Country_271835,0,4,0.8377697575,5,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0.0
0,Darin Taylor,person,Country_271835,15,0,0.8450406213333334,16,15,0,0,15,0,0,0,0,15,0,0,0,0,0,0.0
0,âsatisfactoryâ,Uncategorized,Unknown,3,0,0.8841799233333333,4,3,3,0,0,0,0,1,0,1,0,0,1,0,0,0.0
0,Brandi Johnson,person,Country_271835,0,7,0.8592512528571429,8,7,0,0,7,0,0,0,0,7,0,0,0,0,0,0.0
0,Megan Gonzales,person,Country_271835,0,2,0.82933028,3,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0.0
0,waterâs,vessel,Unknown,2,0,0.91913695,3,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0.0
0,James Patterson,person,Country_271835,6,1,0.8215127985714286,8,7,0,0,7,0,0,0,0,7,0,0,0,0,0,0.0
0,Sarah Williams,person,Country_271835,2,9,0.8606864072727273,12,11,4,1,6,0,1,1,1,6,1,0,1,0,0,0.0
0,Andrea White,person,Country_271835,3,0,0.8051399899999999,4,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0.0
0,Kenneth Warren,person,Country_271835,0,4,0.8226508175,5,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0.0
0,Crystal Hunter,person,Country_271835,2,4,0.8256750433333334,7,6,0,0,6,0,0,0,0,6,0,0,0,0,0,0.0
0,Gabrielle Wright,person,Country_271835,0,8,0.8564508425,9,8,0,0,8,0,0,0,0,8,0,0,0,0,0,0.0
0,Larry Cisneros,person,Country_271835,20,0,0.8634774140000001,21,20,1,0,19,0,0,1,0,19,0,0,0,0,0,0.0
0,Ashley Boyer,person,Country_271835,18,0,0.8539451427777778,19,18,0,0,18,0,0,0,0,18,0,0,0,0,0,0.0
0,Erika Carter,person,Country_271835,0,2,0.824847695,3,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0.0
0,Alexandra Jackson,person,Country_271835,0,4,0.825829085,5,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0.0
0,Charles Duke,person,Country_271835,0,4,0.8336455899999999,5,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0.0
0,Emily Smith,person,Country_271835,0,4,0.8306791425,5,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0.0
0,Ethan Walsh,person,Country_271835,1,4,0.816328472,6,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0.0
1,Daniel Vasquez,person,Country_271835,1,1,0.841024685,3,2,0,0,1,1,0,0,0,1,0,0,1,0,0,0.0
1,288971672,political_organization,Unknown,3,0,0.8782874333333334,4,3,3,0,0,0,1,0,1,0,1,0,0,0,0,0.0
1,Michelle Aguilar,person,Country_271835,1,0,0.9377806,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0
1,Erin Simmons,person,Oceanus,4,13,0.8531253547058824,18,17,3,4,2,8,1,5,5,2,3,0,1,0,0,0.0
1,Noah Mitchell,person,Country_271835,4,2,0.8514418883333335,6,6,0,0,0,6,0,3,3,0,0,0,0,0,0,0.0
1,Brandon Berger,person,Country_271835,1,0,0.951431,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0
1,2ed68d75-994e-43dd-b326-a2adfa540562,location,Unknown,2,0,0.8218271100000001,3,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0.0
1,386,organization,Unknown,2,1,0.8874600866666666,4,3,0,0,0,3,0,0,1,1,1,0,0,0,0,0.0
1,39048624,organization,Unknown,0,3,0.8592402,4,3,0,2,0,1,0,1,0,1,0,0,1,0,0,0.0
1,88d63621-4f58-4c7e-a02d-589cefb3a6be,location,Unknown,0,2,0.90496257,3,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0.0
1,IndÃºstria Madeireira Uliana,Uncategorized,Unknown,0,1,0.81229156,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0
1,71835024,organization,Unknown,0,4,0.8492542775,5,4,0,4,0,0,1,3,0,0,0,0,0,0,0,0.0
1,18139144-efbe-4540-8e65-fde29def1993,location,Unknown,1,2,0.85982138,4,3,0,3,0,0,0,1,2,0,0,0,0,0,0,0.0
1,Basketball,Uncategorized,Unknown,1,2,0.8246621099999999,4,3,1,1,0,1,0,1,1,0,1,0,0,0,0,0.0
1,Belgian Scallop Limited Liability Company Krill,Uncategorized,Unknown,1,2,0.8508440566666667,4,3,0,0,1,2,1,0,0,1,1,0,0,0,0,0.0
1,1710a32e-7a58-4d7f-9c5e-bf897b7419a3,location,Unknown,3,12,0.8543665593333335,14,15,8,2,0,5,3,1,2,6,0,0,0,2,1,0.0
1,14636,organization,Unknown,1,0,0.8686541,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0
1,Amanda Mckenzie,person,Oceanus,71,29,0.8747033164000001,86,100,10,32,36,22,12,22,20,35,8,1,2,0,0,3.0
1,60774,organization,Unknown,1,3,0.8713229499999999,4,4,0,0,1,3,0,2,2,0,0,0,0,0,0,0.0
1,Michelle Evans,person,Country_271835,0,2,0.8174549799999999,3,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0.0
1,324989705,organization,Unknown,2,1,0.8501822566666667,4,3,0,2,0,1,0,1,2,0,0,0,0,0,0,0.0
1,Diana Kelley,person,Country_271835,3,0,0.8865160800000002,4,3,1,1,0,1,2,0,0,0,1,0,0,0,0,0.0
1,Terri Rodriguez,person,Country_271835,0,2,0.9137537,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0.0
1,Brittany Rivers,person,Country_271835,2,0,0.92287281,3,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0.0
1,Samuel Cross,person,Country_230197,3,1,0.83374119,5,4,0,0,0,4,1,0,1,0,2,0,0,0,0,0.0
1,41695239,organization,Unknown,1,1,0.8453661800000001,3,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0.0
1,Margaret Ward,person,Country_271835,1,2,0.8927046333333334,4,3,0,0,2,1,0,0,1,2,0,0,0,0,0,0.0
1,Jennifer Brown,person,Country_271835,1,0,0.9229469,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0
1,313441257,organization,Unknown,1,1,0.884340025,3,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0.0
1,Martin Bryant,person,Country_271835,15,0,0.8778308120000001,14,15,5,2,3,5,4,3,1,3,2,2,0,0,0,0.0
1,64667049,organization,Unknown,2,0,0.96184242,3,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0.0
1,958644,organization,Unknown,1,1,0.86356623,3,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0.0
1,150674265,organization,Unknown,2,0,0.881305885,3,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0.0
1,945,organization,Unknown,1,1,0.8592186500000001,3,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0.0
1,Andrew Gamble,person,Country_271835,4,0,0.8347363999999999,5,4,0,0,4,0,3,0,1,0,0,0,0,0,0,0.0
1,Spy,vessel,Unknown,0,1,0.830997,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0
1,779,organization,Unknown,0,1,0.83009374,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0
1,833355,organization,Unknown,2,0,0.8901152649999999,3,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0.0
1,f20779bf-63b5-4ea4-bb5f-944bb9449bce,location,Unknown,1,1,0.8803076750000001,3,2,0,0,1,1,0,1,1,0,0,0,0,0,0,0.0
1,0fab17df-2c08-46b6-8ce9-b13b3a60ff3d,location,Unknown,2,0,0.83221932,3,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0.0
1,The Pew Charitable Trustsâ,Uncategorized,Unknown,0,1,0.8190703,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0
1,f64e747e-13de-4628-b939-92a8ff4eb03f,location,Unknown,3,0,0.8267886799999999,4,3,2,0,0,1,1,0,1,1,0,0,0,0,0,0.0
1,Thomas Corp Cargo ship,Uncategorized,Unknown,1,2,0.8532863,4,3,1,0,1,1,0,0,2,1,0,0,0,0,0,0.0
1,Candice Brown,person,Country_271835,2,0,0.82447892,3,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0.0
1,John Campbell,person,Country_271835,2,0,0.8421831399999999,3,2,0,0,1,1,0,0,0,1,0,0,1,0,0,0.0
1,6d0e9c69-47a0-497e-b26e-28755c949385,location,Unknown,0,2,0.84589115,3,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0.0
1,114d2882-b620-4098-bb56-d865bbb85339,location,Unknown,2,0,0.83886054,3,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0.0
1,86ac9e66-f9e8-4f2b-ad17-39a52c23288c,location,Unknown,2,0,0.8517779400000001,3,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0.0
1,Rose,Uncategorized,Unknown,1,1,0.8685290649999999,3,2,0,0,0,2,0,0,1,0,0,0,1,0,0,0.0
1,109746,organization,Unknown,2,0,0.84755135,3,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0.0
1,56126935,organization,Unknown,0,1,0.83132195,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
1,8651344,political_organization,Unknown,2,0,0.87494785,3,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0.0
1,âlast week,event,Unknown,1,1,0.832041445,3,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0.0
1,Patricia Flores,person,Oceanus,2,0,0.902030705,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0.0
1,Bryan King,person,Country_271835,1,1,0.812165795,3,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0.0
1,528,organization,Unknown,1,0,0.80576813,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0
1,Vanessa Avila,person,Country_271835,8,1,0.87305336,10,9,3,0,2,4,1,2,3,1,2,0,0,0,0,0.0
1,Christina Abbott,person,Country_271835,0,2,0.915084685,3,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0.0
1,cookies,event,Unknown,2,2,0.8871112575,5,4,0,1,3,0,1,0,2,1,0,0,0,0,0,0.0
1,Marmooska Shipyard Sagl United,Uncategorized,Unknown,0,3,0.8638538000000001,4,3,1,0,0,2,0,1,1,0,1,0,0,0,0,0.0
1,Manuel Hess,person,Country_271835,1,1,0.86833367,2,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0.0
1,e916e286-85e5-4a43-b2ef-89ad5260ebdc,location,Unknown,6,0,0.8812169866666665,6,6,0,0,0,6,1,3,1,0,1,0,0,0,0,0.0
1,Blue Water Ventures Kga,Uncategorized,Unknown,1,1,0.813779145,3,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0.0
1,349,organization,Unknown,2,0,0.917688525,3,2,0,0,1,1,0,0,1,0,1,0,0,0,0,0.0
1,97453782,organization,Unknown,3,0,0.88423797,4,3,0,2,1,0,1,2,0,0,0,0,0,0,0,0.0
1,37992687,political_organization,Unknown,0,2,0.857857195,3,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0.0
1,Ashley Wiggins,person,Country_271835,1,0,0.87335443,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0
1,13,organization,Unknown,0,3,0.9198921366666668,4,3,0,1,0,2,2,0,0,0,1,0,0,0,0,0.0
1,Rhonda Price,person,Oceanus,1,0,0.8380098,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0
1,88b35c10-45ae-4ded-ae4a-6cad038cfd91,location,Unknown,0,3,0.8568673466666668,4,3,0,3,0,0,0,2,1,0,0,0,0,0,0,0.0
1,85b8a8cf-7f07-4bab-8b44-1d79940aab8d,location,Unknown,0,2,0.85664465,3,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0.0
1,10,event,Unknown,0,3,0.8532682433333333,4,3,2,0,0,1,0,0,1,0,2,0,0,0,0,0.0
1,LC,Uncategorized,Unknown,2,1,0.8422477666666667,4,3,3,0,0,0,0,1,0,0,2,0,0,0,0,0.0
