Community,Total-Nodes,Total-Edges,Avg-In-Degree,Avg-Out-Degree,Avg-Weight,company,organization,Uncategorized,person,location,political_organization,vessel,movement,event,ownership,partnership,family_relationship,membership
0.0,29.0,114.0,3.586206896551724,3.7586206896551726,0.8474810720187792,0.06896551724137931,0.10344827586206896,0.20689655172413793,7.724137931034483,0.034482758620689655,0.0,0.20689655172413793,0.0,0.0,0.10526315789473684,0.02631578947368421,1.736842105263158,0.0
1.0,485.0,1895.0,3.6556701030927834,3.6123711340206186,0.8574848843319152,1.0989690721649485,2.181443298969072,1.8329896907216494,1.7195876288659795,0.8577319587628865,0.11752577319587629,0.29896907216494845,0.0577319587628866,0.10309278350515463,0.42796833773087073,0.37994722955145116,0.3266490765171504,0.7255936675461742
2.0,126.0,457.0,2.888888888888889,2.7222222222222223,0.8695571369448376,0.36507936507936506,3.3095238095238093,0.7142857142857143,0.7698412698412699,0.8095238095238095,0.42857142857142855,0.15079365079365079,0.023809523809523808,0.03968253968253968,0.2778993435448578,0.2275711159737418,0.562363238512035,0.47921225382932164
3.0,201.0,702.0,2.691542288557214,2.6965174129353233,0.8613736062880889,0.5074626865671642,2.5223880597014925,0.9601990049751243,1.36318407960199,0.7014925373134329,0.18407960199004975,0.05472636815920398,0.01990049751243781,0.07462686567164178,0.2678062678062678,0.4074074074074074,0.3603988603988604,0.5071225071225072
4.0,15.0,104.0,6.933333333333334,6.933333333333334,0.9459057125000001,0.0,0.0,14.866666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
5.0,31.0,429.0,13.516129032258064,13.387096774193548,0.8947006237529977,0.9354838709677419,1.8387096774193548,17.35483870967742,5.290322580645161,1.2258064516129032,1.1290322580645162,0.0,0.12903225806451613,0.0,0.006993006993006993,0.053613053613053616,0.12121212121212122,1.7622377622377623
6.0,94.0,364.0,3.234042553191489,3.2127659574468086,0.8306007192904288,0.2978723404255319,2.8617021276595747,1.9574468085106382,1.5851063829787233,0.3404255319148936,0.0425531914893617,0.35106382978723405,0.0,0.010638297872340425,0.3598901098901099,0.521978021978022,0.2802197802197802,0.5027472527472527
7.0,106.0,400.0,2.9339622641509435,2.9716981132075473,0.8594600175878595,0.42452830188679247,2.2358490566037736,1.150943396226415,1.5188679245283019,0.8490566037735849,0.4811320754716981,0.10377358490566038,0.0,0.14150943396226415,0.1775,0.4975,0.1975,0.6925
8.0,56.0,177.0,2.3035714285714284,2.4107142857142856,0.8549896309469697,0.4642857142857143,2.732142857142857,0.7321428571428571,0.8392857142857143,0.35714285714285715,0.30357142857142855,0.0,0.10714285714285714,0.17857142857142858,0.3898305084745763,0.2033898305084746,0.20903954802259886,0.6892655367231638
9.0,149.0,652.0,3.422818791946309,3.5436241610738257,0.861374259142582,0.6308724832214765,2.7583892617449663,1.6241610738255035,1.221476510067114,0.9194630872483222,0.16778523489932887,0.42953020134228187,0.14093959731543623,0.0738255033557047,0.15337423312883436,0.2898773006134969,0.37116564417177916,0.7776073619631901
10.0,60.0,161.0,2.1333333333333333,2.283333333333333,0.8234416290566038,0.5166666666666667,2.35,1.1,1.0666666666666667,0.31666666666666665,0.016666666666666666,0.05,0.0,0.0,0.45962732919254656,0.39751552795031053,0.21739130434782608,0.5714285714285714
11.0,105.0,289.0,2.2095238095238097,2.2,0.8609239197192226,0.34285714285714286,1.3238095238095238,1.161904761904762,1.9428571428571428,0.2571428571428571,0.11428571428571428,0.047619047619047616,0.01904761904761905,0.2,0.2975778546712803,0.23875432525951557,0.4740484429065744,0.5916955017301038
12.0,5.0,6.0,1.2,1.2,0.8898535133333332,0.0,0.0,0.6,0.4,0.8,0.0,1.6,0.0,0.0,1.3333333333333333,0.0,0.0,0.6666666666666666
13.0,137.0,600.0,3.386861313868613,3.576642335766423,0.8549284554507336,0.6131386861313869,3.3795620437956204,1.1824817518248176,1.0875912408759123,1.1240875912408759,0.41605839416058393,0.043795620437956206,0.051094890510948905,0.06569343065693431,0.65,0.20333333333333334,0.32666666666666666,0.41
