Tot_Degree,Count
1,9.985841937
1.584962501,9.174925683
0,8.581200582
2,8.566054038
2.321928095,7.665335917
2.584962501,7.118941073
2.807354922,6.781359714
3,6.022367813
3.169925001,5.882643049
3.807354922,5.392317423
3.584962501,5.285402219
3.459431619,5.209453366
3.700439718,5.169925001
3.321928095,5.129283017
3.906890596,5
5.129283017,4.857980995
4,4.807354922
4.169925001,4.321928095
4.087462841,4.169925001
4.247927513,4
4.754887502,3.807354922
4.807354922,3.700439718
4.321928095,3.321928095
4.700439718,3.321928095
4.857980995,3.321928095
4.392317423,3.169925001
4.906890596,3
4.459431619,2.584962501
4.64385619,2.584962501
5.087462841,2.584962501
5.169925001,2.584962501
4.584962501,2.321928095
5.209453366,2
4.523561956,1.584962501
4.95419631,1.584962501
5.044394119,1.584962501
5.247927513,1.584962501
5.285402219,1.584962501
5.357552005,1.584962501
5.392317423,1.584962501
5.614709844,1.584962501
5,1
5.321928095,1
5.491853096,1
5.523561956,1
6,1
6.321928095,1
5.426264755,0
5.554588852,0
5.64385619,0
5.672425342,0
6.044394119,0
6.06608919,0
6.087462841,0
6.357552005,0
6.409390936,0
6.584962501,0
6.62935662,0
6.64385619,0
6.768184325,0
6.942514505,0
7.46760555,0
7.693486957,0
7.707359132,0
7.982993575,0
8.479780264,0
8.607330314,0
8.618385502,0
8.64385619,0
8.651051691,0
