Community,Total-Nodes,Total-Edges,in_degree,out_degree,weight,neighbor,ownership,partnership,family_relationship,membership,company,organization,Uncategorized,person,location,political_organization,vessel,movement,event
0.0,121.0,495.0,3.12396694214876,3.1322314049586777,0.8687176152708057,6.256198347107438,0.2909090909090909,0.4767676767676768,0.2646464646464646,0.4969696969696969,0.6446280991735537,2.71900826446281,1.6611570247933884,0.9338842975206612,0.6363636363636364,0.1652892561983471,0.1983471074380165,0.0165289256198347,0.2809917355371901
1.0,473.0,1869.0,3.7357293868921775,3.661733615221988,0.8580453173163759,7.397463002114165,0.4355270197966827,0.3830925628678437,0.3178170144462279,0.7356875334403424,1.145877378435518,2.219873150105708,1.864693446088795,1.708245243128964,0.8773784355179705,0.120507399577167,0.3002114164904862,0.054968287526427,0.1057082452431289
2.0,128.0,459.0,2.84375,2.7109375,0.8695034844444445,5.5546875,0.2832244008714596,0.2200435729847494,0.5555555555555556,0.4901960784313725,0.359375,3.296875,0.6953125,0.7578125,0.796875,0.4296875,0.1484375,0.0234375,0.046875
3.0,195.0,657.0,2.6974358974358976,2.5538461538461537,0.8616114767578125,5.251282051282051,0.2678843226788432,0.4018264840182648,0.3607305936073059,0.528158295281583,0.4974358974358974,2.405128205128205,0.9692307692307692,1.3692307692307693,0.6871794871794872,0.1743589743589743,0.0512820512820512,0.0205128205128205,0.0769230769230769
4.0,132.0,530.0,3.2045454545454546,3.053030303030303,0.8731536426634381,6.257575757575758,0.1773584905660377,0.2528301886792453,0.4169811320754717,0.7113207547169811,0.2045454545454545,1.5,1.2121212121212122,2.643939393939394,0.5984848484848485,0.6515151515151515,0.053030303030303,0.0378787878787878,0.3560606060606061
5.0,105.0,435.0,3.742857142857143,3.8190476190476192,0.8804220699999995,7.561904761904762,0.1977011494252873,0.5770114942528736,0.3149425287356321,0.735632183908046,0.4476190476190476,3.333333333333333,0.6857142857142857,2.304761904761905,0.4952380952380952,0.3333333333333333,0.4476190476190476,0.2476190476190476,0.2666666666666666
6.0,116.0,366.0,3.0258620689655173,2.827586206896552,0.8786353579381445,5.853448275862069,0.1830601092896175,0.3907103825136612,0.680327868852459,0.6010928961748634,0.293103448275862,1.6551724137931034,1.4482758620689655,2.4827586206896552,0.3275862068965517,0.0258620689655172,0.2241379310344827,0.1034482758620689,0.293103448275862
7.0,128.0,483.0,3.09375,2.8046875,0.8625897672450329,5.8984375,0.2525879917184265,0.484472049689441,0.4182194616977225,0.4078674948240166,0.25,2.0234375,1.0078125,2.421875,0.5859375,0.3203125,0.0390625,0.03125,0.21875
8.0,128.0,387.0,2.296875,2.3203125,0.8700420572250421,4.6171875,0.2971576227390181,0.2558139534883721,0.330749354005168,0.6434108527131783,0.4453125,2.0703125,1.109375,0.9140625,0.6171875,0.25,0.125,0.0390625,0.046875
9.0,148.0,653.0,3.439189189189189,3.581081081081081,0.8608865093647744,7.02027027027027,0.1577335375191424,0.2848392036753445,0.3705972434915773,0.777947932618683,0.6554054054054054,2.777027027027027,1.6216216216216215,1.2364864864864864,0.9121621621621622,0.1689189189189189,0.4324324324324324,0.1418918918918918,0.0743243243243243
10.0,167.0,581.0,2.6467065868263475,2.8862275449101795,0.8652877394696974,5.532934131736527,0.3958691910499139,0.4010327022375215,0.3356282271944922,0.4578313253012048,0.2934131736526946,2.592814371257485,0.6586826347305389,1.3532934131736527,0.5868263473053892,0.1916167664670658,0.5748502994011976,0.1377245508982036,0.1437125748502994
11.0,111.0,305.0,2.1531531531531534,2.216216216216216,0.8607093935463919,4.36936936936937,0.3081967213114754,0.2327868852459016,0.4688524590163934,0.580327868852459,0.3693693693693693,1.3333333333333333,1.1261261261261262,1.9189189189189189,0.2522522522522522,0.1171171171171171,0.045045045045045,0.018018018018018,0.1891891891891892
12.0,267.0,1478.0,4.573033707865169,4.595505617977528,0.8765471532843135,9.168539325842696,0.4005412719891745,0.4654939106901218,0.3247631935047361,0.4654939106901218,0.99625468164794,3.1760299625468167,1.344569288389513,2.0711610486891385,1.3707865168539326,0.5730337078651685,0.247191011235955,0.2209737827715356,0.1685393258426966
13.0,131.0,579.0,3.3893129770992365,3.633587786259542,0.8550681736413044,7.022900763358779,0.6632124352331606,0.2055267702936096,0.3212435233160621,0.3989637305699481,0.5267175572519084,3.4656488549618323,1.1984732824427482,1.1145038167938932,1.16793893129771,0.4198473282442748,0.0458015267175572,0.0381679389312977,0.0458015267175572
14.0,109.0,411.0,2.926605504587156,2.944954128440367,0.8586325322968753,5.871559633027523,0.1824817518248175,0.5109489051094891,0.194647201946472,0.6690997566909975,0.4036697247706422,2.339449541284404,1.1559633027522935,1.4495412844036697,0.8165137614678899,0.4678899082568807,0.091743119266055,0.0091743119266055,0.1376146788990825
15.0,142.0,483.0,2.767605633802817,2.4577464788732395,0.8738461369676546,5.225352112676056,0.2008281573498964,0.4368530020703933,0.3540372670807453,0.5445134575569358,0.3028169014084507,1.7535211267605637,1.0845070422535212,2.3380281690140845,0.3380281690140845,0.1619718309859155,0.028169014084507,0.0211267605633802,0.1971830985915492
